brand_name,product_category,units_sold,total_revenue,avg_retail_price,transactions
Free People,Dress,1,37.99,37.99,1
M.J. Soffe,Other,1,37.99,37.99,1
7 For All Mankind,Jeans/Pants,1,36.99,36.99,1
Draper James,Top,1,36.99,36.99,1
Dromedaris,Shoes,1,36.99,36.99,1
Lanz Vintage,Dress,1,36.99,36.99,1
Zara,Jeans/Pants,1,36.99,36.99,1
Coca Cola,Top,2,36.98,18.49,2
Allegria,Other,1,35.99,35.99,1
Anthropologie,Skirt,1,35.99,35.99,1
Baccini,Jeans/Pants,1,35.99,35.99,1
Banana Boat,Dress,1,35.99,35.99,1
Boohoo,Dress,1,35.99,35.99,1
Buckle,Accessories,1,35.99,35.99,1
Charles Jourdan,Top,1,35.99,35.99,1
Cloth & Stone,Romper/Jumpsuit,1,35.99,35.99,1
Courtenay Vintage,Jacket/Coat,1,35.99,35.99,1
Ed Hardy,Top,1,35.99,35.99,1
J.Crew,Sweater/Cardigan,1,35.99,35.99,1
Kut,Jeans/Pants,1,35.99,35.99,1
Main Events,Shoes,1,35.99,35.99,1
Maria Jose Navarro,Top,1,35.99,35.99,1
Paper Doll,Other,1,35.99,35.99,1
Paper Lacer,Top,1,35.99,35.99,1
Ralph Lauren Sport,Top,1,35.99,35.99,1
Saks 5Th Ave,Dress,1,35.99,35.99,1
Sarah Coventry,Accessories,1,35.99,35.99,1
Traffic People,Top,1,35.99,35.99,1
Vol. 1,Top,1,35.99,35.99,1
West 36th,Skirt,1,35.99,35.99,1
Inc,Top,2,35.98,17.99,2
Alpine,Jeans/Pants,1,34.99,34.99,1
Armani,Top,1,34.99,34.99,1
Covington,Jacket/Coat,1,34.99,34.99,1
Flying Tomato,Dress,1,34.99,34.99,1
J Brand,Jeans/Pants,1,34.99,34.99,1
Jessica Simpson,Sweater/Cardigan,1,34.99,34.99,1
Lysse New York,Jeans/Pants,1,34.99,34.99,1
Madewell,Dress,1,34.99,34.99,1
Nina,Top,1,34.99,34.99,1
Blue Blush,Dress,2,34.98,17.49,2
Frederick's of Hollywood,Other,1,33.99,33.99,1
House of Harlow 1960,Top,1,33.99,33.99,1
JouJou,Jacket/Coat,1,33.99,33.99,1
Maeve,Skirt,1,33.99,33.99,1
Mina Self,Top,1,33.99,33.99,1
Moon Collection,Dress,1,33.99,33.99,1
Sigrid Olsen,Jeans/Pants,1,33.99,33.99,1
Zesica,Dress,1,33.99,33.99,1
Russel,Top,2,33.98,16.99,2
The Rolling Stones,Top,2,33.98,16.99,2
Anna Sui,Skirt,1,33.0,33.0,1
Amo,Top,1,32.99,32.99,1
Angel Biba,Dress,1,32.99,32.99,1
Armani,Dress,1,32.99,32.99,1
Astr,Dress,1,32.99,32.99,1
Ave Maria,Top,1,32.99,32.99,1
Brooks Brothers,Skirt,1,32.99,32.99,1
Christopher & Banks,Top,1,32.99,32.99,1
Clarks,Shoes,1,32.99,32.99,1
Coast,Top,1,32.99,32.99,1
Crisis,Other,1,32.99,32.99,1
Delia's,Dress,1,32.99,32.99,1
Depeche Mode,Top,1,32.99,32.99,1
Doreman Pacific Co.,Accessories,1,32.99,32.99,1
Draper James,Skirt,1,32.99,32.99,1
Etwo,Top,1,32.99,32.99,1
Harley Davidson,Jacket/Coat,1,32.99,32.99,1
Harper Heritage,Jacket/Coat,1,32.99,32.99,1
Highway Jeans,Skirt,1,32.99,32.99,1
Hollister,Jacket/Coat,1,32.99,32.99,1
Ixee,Dress,1,32.99,32.99,1
Judy Blue Los Angeles,Jeans/Pants,1,32.99,32.99,1
Kings Road,Other,1,32.99,32.99,1
Laundry by Shelli Segal,Romper/Jumpsuit,1,32.99,32.99,1
Laxman Collection,Other,1,32.99,32.99,1
Lisette,Jeans/Pants,1,32.99,32.99,1
Maeve,Dress,1,32.99,32.99,1
Majora,Romper/Jumpsuit,1,32.99,32.99,1
Mannerism,Jeans/Pants,1,32.99,32.99,1
Mona Mode,Top,1,32.99,32.99,1
