date,hour,month,day_of_week,week_num,receipt_number,sku,details,brand_name,product_category,size,quantity,subtotal,sales_tax,total,retail_price,has_discount
2026-03-28,18,3,Saturday,13,27,10005708,Divided Red Gray LS / Size 8,Divided,Top,8,1.0,15.99,1.47908,17.46908,15.99,False
2026-03-28,18,3,Saturday,13,26,10006771,Vintage Sunflower Dress/ Size 14,Unknown,Dress,14,1.0,85.99,7.95408,93.94408,85.99,False
2026-03-28,18,3,Saturday,13,26,10006583,Fore Multicolor Floral Crop Top / Size M,Fore,Top,M,1.0,28.99,2.68158,31.67158,28.99,False
2026-03-28,18,3,Saturday,13,26,10006900,LAHearts/GrnBlueHalterTop/SizeM,LA Hearts,Top,M,1.0,15.99,1.47908,17.46908,15.99,False
2026-03-28,18,3,Saturday,13,26,10006996,Green Tan Satin SL Top / Size M,Unknown,Top,M,1.0,19.99,1.84908,21.83908,19.99,False
2026-03-28,18,3,Saturday,13,26,10007188,Theory Dress Black Size 4,,Dress,4,1.0,45.99,4.25408,50.24408,45.99,False
2026-03-28,18,3,Saturday,13,25,10007346,Stella Dot Gold Multi Color Necklace,Stella & Dot,Accessories,,1.0,22.99,2.12658,25.11658,22.99,False
2026-03-28,18,3,Saturday,13,24,10007157,Brown Chic Vintage T Shirt Size L,,Top,L,1.0,23.99,2.21908,26.20908,23.99,False
2026-03-28,18,3,Saturday,13,24,10007146,Pink Chic Vintage T Shirt Size M,,Top,M,1.0,23.99,2.21908,26.20908,23.99,False
2026-03-28,18,3,Saturday,13,23,10006670,Pink coach mini purse,Coach,Accessories,,1.0,300.0,27.75,327.75,300.0,False
2026-03-28,17,3,Saturday,13,22,10007174,Frederick's of Hollywood Leopard Slip / Size M,Frederick's of Hollywood,Other,M,1.0,33.99,3.14408,37.13408,33.99,False
2026-03-28,17,3,Saturday,13,22,10003910,Sasson Black Slip Dress / Size L,Sasson,Dress,L,1.0,27.99,2.58908,30.57908,27.99,False
2026-03-28,16,3,Saturday,13,21,10006856,The territory ahead white dress shirt/M,The Territory Ahead,Dress,M,1.0,19.99,1.84908,21.83908,19.99,False
2026-03-28,16,3,Saturday,13,21,10005061,Patterned Top/ Wht&Orng/ Size XS,Unknown,Top,XS,1.0,15.99,1.47908,17.46908,15.99,False
2026-03-28,16,3,Saturday,13,21,10007110,Lapis Pink & Brown Strapless Dress / One Size,Lapis,Dress,,1.0,31.99,2.95908,34.94908,31.99,False
2026-03-28,16,3,Saturday,13,20,10006692,Canyon River Army Green Overalls / Size M,Canyon River Blues,Top,M,1.0,25.99,2.40408,28.39408,25.99,False
2026-03-28,16,3,Saturday,13,19,10004283,Moth/Amber Knit Sweater/Size S,Moth,Sweater/Cardigan,S,1.0,19.99,1.84908,21.83908,19.99,False
2026-03-28,16,3,Saturday,13,18,10004896,Essence/BlPatternedSkirtWRuffle/SizeM,Essence,Skirt,M,1.0,26.99,2.49658,29.48658,26.99,False
2026-03-28,16,3,Saturday,13,17,10006983,Isaac Mizrahi White Dress / Size 6,Isaac Mizrahi,Dress,6,1.0,45.99,4.25408,50.24408,45.99,False
2026-03-28,14,3,Saturday,13,16,10005957,Desigual Purple Orange Boots / Size 9.5,Desigual,Shoes,9.5,1.0,125.0,11.5625,136.5625,125.0,False
2026-03-28,14,3,Saturday,13,15,10007065,White Mountain Slip on Sandals Gold/Size 9,White Mountain,Top,9,1.0,18.99,1.75658,20.74658,18.99,False
2026-03-28,14,3,Saturday,13,15,10007107,West 36th Denim Skirt Brown/Size L,West 36th,Skirt,L,1.0,35.99,3.32908,39.31908,35.99,False
2026-03-28,14,3,Saturday,13,14,10005098,Highway Jeans Jean Vest / Size M,Highway Jeans,Jeans/Pants,M,1.0,15.99,1.47908,17.46908,15.99,False
2026-03-28,14,3,Saturday,13,14,10006185,blue patterned dress/medium,Desigual,Dress,,1.0,44.99,4.16158,49.15158,44.99,False
2026-03-28,14,3,Saturday,13,14,10006479,VINTAGE Magica Blue 2 Piece Set / Size M,Magica,Set,M,1.0,49.99,4.62408,54.61408,49.99,False
