sku,product_name,brand_name,product_category,size,retail_price,supply_price,gross_margin_pct,current_inventory,sold_revenue,closing_inventory,inventory_cost
10004248,Bronze Square-Toe Boot,Gianni Bini,Shoes,9,45.99,0.0,,0,45.99,0,0.0
10007127,Carolina Belle Montreal Blue Jacket,Carolina Belle,Jacket/Coat,S,45.99,0.0,,0,45.99,0,0.0
10004620,Claudia Strater Green & Gold Dress,Claudia Strater,Dress,XL,45.99,0.0,,0,45.99,0,0.0
10005052,Coach Audrey Tote Seafoam Green,Coach,Accessories,,45.99,0.0,,0,45.99,0,0.0
10000175,DemocracyPants,Democracy,Jeans/Pants,,1.0,0.0,,0,45.99,0,0.0
10005913,Desigual Green Colorful Dress,Desigual,Dress,38,45.99,0.0,,0,45.99,0,0.0
10006609,Desigual Yellow Leather Jacket,Desigual,Jacket/Coat,M,45.99,0.0,,0,45.99,0,0.0
10007128,Elana Kattau Rainbow Jumpsuit,Elana Kattau,Romper/Jumpsuit,S,45.99,0.0,,0,45.99,0,0.0
10006983,Isaac Mizrahi White Dress,Isaac Mizrahi,Dress,6,45.99,0.0,,0,45.99,0,0.0
10004189,James Jeans Jacket Blk Wax Denim,James Jeans,Jeans/Pants,,45.99,0.0,,0,45.99,0,0.0
10006809,Lily Pulitzer Orange Dress,Lily Pulitzer,Dress,,45.99,0.0,,0,45.99,0,0.0
10007261,Listicle Light Blue Dress,,Dress,L,45.99,0.0,,0,45.99,0,0.0
10005415,LiuJo PurpKnitDress,Liu Jo,Dress,S,45.99,0.0,,0,45.99,0,0.0
10007316,Metalpurse,,Accessories,,45.99,0.0,,-1,45.99,-1,0.0
10007250,NWT BCBG Brown Dress,,Dress,8,45.99,0.0,,0,45.99,0,0.0
10005819,NWT draper james dress org,Draper James NWT,Dress,4,45.99,0.0,,0,45.99,0,0.0
10007252,NWT Mable White Jacket,,Jacket/Coat,M,45.99,0.0,,0,45.99,0,0.0
10006428,persaman beige jacket,Persaman,Jacket/Coat,M,45.99,0.0,,0,45.99,0,0.0
10006307,Persaman Biege Corduory Jacket,Persaman,Jacket/Coat,S,45.99,0.0,,0,45.99,0,0.0
10006250,Revlon Ivory Love Pat Compact Mirror 1960s,Revlon,Other,,45.99,0.0,,0,45.99,0,0.0
10007300,Saintart Army Green Satin Pants,Saintart,Jeans/Pants,S,45.99,0.0,,0,45.99,0,0.0
10007188,Theory Dress Black,,Dress,4,45.99,0.0,,0,45.99,0,0.0
10005997,TheSak BrwnFloralBag,The Sak,Accessories,,45.99,0.0,,0,45.99,0,0.0
10006274,VINTAGE Floral Orange Tan Shirt,Unknown,Top,12,45.99,0.0,,0,45.99,0,0.0
10004554,Dooney & B Small Navy Blue Wristlet Tan Strap,Dooney & Burke,Other,,45.0,0.0,,0,45.0,0,0.0
10007839,VINTAGE Saks 5th Ave Makeup Compact,Saks 5Th Ave,Other,,45.0,0.0,,0,45.0,0,0.0
10003764,Baby Pink Cowgirl Boots,,Shoes,9,44.99,0.0,,0,44.99,0,0.0
10006185,blue patterned dress medium,Desigual,Dress,,44.99,0.0,,0,44.99,0,0.0
10008298,NicoleLee GreenSequinflowerPurse,Nicole Lee,Accessories,,44.99,0.0,,0,44.99,0,0.0
10003809,Polo US Open Sweatshirt,Polo Ralph Lauren,Top,XL,44.99,0.0,,0,44.99,0,0.0
10005641,Vertigo Black SL Top,Vertigo,Top,XS,45.99,0.0,,0,44.77004,0,0.0
10002407,JezebelCamisole,Jezebel,Top,,19.99,0.0,,0,44.05419,1,0.0
10003549,NWT WHBM Skirt Black & White,White House Black Market,Skirt,0,43.99,0.0,,1,43.99,1,0.0
10004327,DraperJames LightPinkDress,Draper James,Dress,XS,42.99,0.0,,0,42.99,0,0.0
10001050,Harley DavidsonTee Shirt_Li,Harley Davidson,Top,,42.99,0.0,,0,42.99,0,0.0
10007328,Kourt Black Dress,Kourt,Dress,M,42.99,0.0,,0,42.99,0,0.0
10004199,VINTAGE Luisa Spagnoli Top Blck,Louisa Spagnoli,Top,L,42.99,0.0,,0,42.99,0,0.0
10003509,Democracy Pants Pink,Democracy,Jeans/Pants,8,44.99,0.0,,0,42.1233,0,0.0
10004540,Blush Lavender Lingerie Romper,Blush,Romper/Jumpsuit,L,40.0,0.0,,0,40.0,0,0.0
10006712,Abercrombie & F Strapless Orange Dress,Abercrombie & Fitch,Dress,S,39.99,0.0,,0,39.99,0,0.0
10005487,allsaints bls blk,Allsaints Spitalfields,Top,S,39.99,0.0,,0,39.99,0,0.0
10002784,Ann TaylorJacket_La,Ann Taylor,Jacket/Coat,,39.99,0.0,,0,39.99,0,0.0
10006982,Banana Rep White Jean Jacket,Banana Republic,Jeans/Pants,S,39.99,0.0,,0,39.99,0,0.0
10004977,Boden Blue & White Skirt,Boden,Skirt,6,39.99,0.0,,0,39.99,0,0.0
