receipt_number,date,day_of_week,month,basket_size,order_subtotal,order_total,basket_category
159,2026-04-08,Wednesday,4,3,70.97,77.53,3 items
160,2026-04-08,Wednesday,4,1,23.99,26.21,1 item
161,2026-04-09,Thursday,4,5,94.95,103.73,4–5 items
162,2026-04-09,Thursday,4,1,35.99,39.32,1 item
163,2026-04-09,Thursday,4,1,22.99,25.12,1 item
164,2026-04-09,Thursday,4,2,45.98,50.23,2 items
165,2026-04-09,Thursday,4,1,25.99,28.39,1 item
166,2026-04-09,Thursday,4,1,11.99,13.1,1 item
167,2026-04-10,Friday,4,1,32.99,36.04,1 item
168,2026-04-10,Friday,4,1,21.99,24.02,1 item
169,2026-04-10,Friday,4,1,39.99,43.69,1 item
170,2026-04-10,Friday,4,1,24.99,27.3,1 item
171,2026-04-10,Friday,4,2,42.98,46.96,2 items
172,2026-04-10,Friday,4,1,12.99,14.19,1 item
173,2026-04-10,Friday,4,1,74.99,81.93,1 item
174,2026-04-10,Friday,4,4,92.96,101.56,4–5 items
175,2026-04-10,Friday,4,3,85.97,93.92,3 items
176,2026-04-10,Friday,4,2,60.98,66.62,2 items
177,2026-04-10,Friday,4,1,21.99,24.02,1 item
178,2026-04-10,Friday,4,3,73.97,80.81,3 items
179,2026-04-11,Saturday,4,1,16.0,17.48,1 item
180,2026-04-11,Saturday,4,1,24.99,27.3,1 item
181,2026-04-11,Saturday,4,3,97.97,107.03,3 items
182,2026-04-11,Saturday,4,1,75.99,83.02,1 item
183,2026-04-11,Saturday,4,6,219.94,240.28,6+ items
184,2026-04-11,Saturday,4,5,423.96,463.18,4–5 items
185,2026-04-11,Saturday,4,1,24.99,27.3,1 item
186,2026-04-11,Saturday,4,1,21.99,24.02,1 item
187,2026-04-11,Saturday,4,1,29.99,32.76,1 item
188,2026-04-11,Saturday,4,6,156.94,171.46,6+ items
189,2026-04-11,Saturday,4,1,24.99,27.3,1 item
190,2026-04-11,Saturday,4,2,35.99,39.32,2 items
191,2026-04-11,Saturday,4,2,70.98,77.55,2 items
192,2026-04-11,Saturday,4,1,21.99,24.02,1 item
193,2026-04-11,Saturday,4,2,65.98,72.08,2 items
194,2026-04-11,Saturday,4,2,50.98,55.7,2 items
195,2026-04-11,Saturday,4,1,22.99,25.12,1 item
196,2026-04-11,Saturday,4,1,23.99,26.21,1 item
197,2026-04-11,Saturday,4,1,27.99,30.58,1 item
198,2026-04-11,Saturday,4,1,18.99,20.75,1 item
199,2026-04-11,Saturday,4,1,15.99,17.47,1 item
200,2026-04-11,Saturday,4,2,75.98,83.01,2 items
201,2026-04-11,Saturday,4,1,22.99,25.12,1 item
202,2026-04-11,Saturday,4,3,58.97,64.42,3 items
203,2026-04-12,Sunday,4,1,24.99,27.3,1 item
204,2026-04-12,Sunday,4,3,81.97,89.55,3 items
205,2026-04-12,Sunday,4,1,18.99,20.75,1 item
206,2026-04-12,Sunday,4,2,48.98,53.51,2 items
207,2026-04-12,Sunday,4,1,25.99,28.39,1 item
208,2026-04-12,Sunday,4,1,23.99,26.21,1 item
209,2026-04-12,Sunday,4,1,12.99,14.19,1 item
210,2026-04-12,Sunday,4,1,29.99,32.76,1 item
211,2026-04-12,Sunday,4,3,122.97,134.34,3 items
212,2026-04-12,Sunday,4,2,30.98,33.85,2 items
213,2026-04-12,Sunday,4,2,48.98,53.51,2 items
214,2026-04-12,Sunday,4,1,18.99,20.75,1 item
215,2026-04-12,Sunday,4,2,46.98,51.33,2 items
216,2026-04-12,Sunday,4,3,376.98,411.85,3 items
217,2026-04-15,Wednesday,4,2,47.99,52.43,2 items
218,2026-04-15,Wednesday,4,3,47.97,52.41,3 items
219,2026-04-15,Wednesday,4,1,54.99,60.08,1 item
220,2026-04-15,Wednesday,4,1,25.99,28.39,1 item
221,2026-04-15,Wednesday,4,2,47.98,52.42,2 items
222,2026-04-15,Wednesday,4,2,59.98,65.53,2 items
223,2026-04-15,Wednesday,4,3,88.98,97.21,3 items
224,2026-04-15,Wednesday,4,2,25.98,28.38,2 items
225,2026-04-15,Wednesday,4,2,31.98,34.94,2 items
226,2026-04-16,Thursday,4,2,48.98,53.51,2 items
227,2026-04-16,Thursday,4,2,70.98,77.55,2 items
228,2026-04-16,Thursday,4,2,48.98,53.51,2 items
229,2026-04-16,Thursday,4,3,75.97,83.0,3 items
230,2026-04-16,Thursday,4,4,103.96,113.58,4–5 items
231,2026-04-16,Thursday,4,4,120.96,132.15,4–5 items
232,2026-04-16,Thursday,4,4,112.96,123.41,4–5 items
233,2026-04-17,Friday,4,2,96.98,105.95,2 items
234,2026-04-17,Friday,4,12,244.88,267.53,6+ items
235,2026-04-17,Friday,4,2,55.99,61.17,2 items
236,2026-04-17,Friday,4,2,43.98,48.05,2 items
237,2026-04-17,Friday,4,2,55.98,61.16,2 items
238,2026-04-17,Friday,4,6,304.95,333.16,6+ items
239,2026-04-17,Friday,4,3,63.97,69.89,3 items
240,2026-04-17,Friday,4,4,109.96,120.13,4–5 items
241,2026-04-17,Friday,4,2,64.99,71.0,2 items
242,2026-04-17,Friday,4,3,61.97,67.7,3 items
243,2026-04-17,Friday,4,2,39.98,43.68,2 items
244,2026-04-18,Saturday,4,3,110.97,121.23,3 items
245,2026-04-18,Saturday,4,2,84.98,92.84,2 items
