Product,SKU,Supplier Code,Brand,Supplier,Category,Tag,Closing Inventory,Revenue,Inventory Cost
AdriannaP/PnkPearlSwter/SizeXL,10006004,,Adrianna Papell,,,,1,0,0
Adrienne VittadinVest_Al,10002809,,Adrienne Vittadin,,,,1,0,0
Adrienne VittadiniSweater_J,10000058,,Adrienne Vittadini,,,,1,0,0
AdrienneV/Blk&NavyPant/Size6,10004314,,Adrienne Vittadini,,,,1,0,0
Aeda Tan Flower Cardigan/ Size S,10006258,,Aeda,,,,0,25.99,0
Aerie Halter Top Size S,10008624,,,,,,1,0,2.25
Aerie/BurgBralette/SizeL,10008586,,Aerie,,,,1,0,8
AeroSoles/BrwnBuckleHeel/Size7.5,10004322,,Aerosoles,,,,0,25.99,0
Aeropostale Brown Belt with Beige Stitch,10007984,,Aeropostale,,,,0,20.99,0
Aeropostale Tie-Dye Top S,10008439,,,,,,1,0,4
Aerosoles/GreyBuckledHeels/Size9,10004379,,Aerosoles,,,,1,0,0
Affinites AT Wrap LS Top / Size S,10006324,,Affinites Armand Thiery,,,,0,34.99,0
Agenda Orange & White SL Top / Size M,10006446,,Agenda,,,,0,18.99,0
Akemi & Kim Floral Skirt XL,10008394,,,,,,1,0,9
Akemi Black Embroider Tank / Size XS,10003798,,Akemi X Kin,,,,1,0,0
Akira Chicago Black Label Dress,10003326,,Akira Chicago,,,,1,45.99,0
Akira Cream Boots/Size 8,10007055,,Akira,,,,0,45.99,0
Akira Pink Velvet Crop Top / Size XL,10007214,,Akira,,,,1,0,0
Akira Tan Banded Skirt/Size S,10004501,,Akira,,,,0,15.99,0
Akira/Brwn&BlkSheerTop/SizeS,10006412,,Akira,,,,0,28.99,0
AlbM Tan Button down/ Size M,10004351,,Alberto Makali,,,,1,0,0
Alberto Black Sequin Tank / Size M,10007871,,Alberto Makali,,,,1,0,0
Alberto Makali Lace Top Black Size M,10003551,,Alberto Makali,,,,0,32.99,0
Aldo Yellowjacket ankle boots Size 7 1/2,10003559,,Aldo,,,,1,0,0
Alex & Ani Tree of Life Bangle,10008613,,,,,,1,0,5.99
Alex Evenings Black Blue Shimmer Tank / Size 2X,10006562,,Alex Evenings,,,,1,0,0
