id,handle,sku,composite_name,composite_sku,composite_quantity,name,description,product_category,variant_option_one_name,variant_option_one_value,variant_option_two_name,variant_option_two_value,variant_option_three_name,variant_option_three_value,tags,active_online,weight,weight_unit,length,width,height,dimensions_unit,supply_price,retail_price,account_code,account_code_purchase,brand_name,supplier_name,supplier_code,active,track_inventory,outlet_tax_Knoxville_Location,inventory_Knoxville_Location,reorder_point_Knoxville_Location,restock_level_Knoxville_Location
24380d57-302f-44fd-9172-75eb7a949307,sadiesageblsbeigem,10005488,,,,sadie&sage/bls/beige/m,,,,,,,,,,0,0,LB,0,0,0,IN,0,25.99,,,sadie & sage,,,1,1,Default Tax,0,,
ee05d6fc-6eb1-454c-8e67-21fdd9ac799f,sag-harbor-brown-ss-top-l,10009126,,,,Sag Harbor Brown SS Top L,,,,,,,,,,0,0,LB,0,0,0,IN,7.65,25.99,,,,,,1,1,Default Tax,0,,
41b64283-d02e-435f-82b6-136c4b744816,sag-harbor-purple-skirtsize-18w,10007003,,,,Sag Harbor Purple Skirt/Size 18W,,,,,,,,,,1,0,,0,0,0,,0,25.99,,,Sag Harbor,,,1,1,Default Tax,1,,
fa6d7130-3134-4506-a2d8-d1996b5ebb96,sag-harbor-red-paisley-ls-top-m,10009391,,,,Sag Harbor Red Paisley LS Top M,,,,,,,,,,0,0,LB,0,0,0,IN,5.45,19.99,,,,,,1,1,Default Tax,1,,
693d8881-9af6-4e18-b82b-c918834bb2cf,sag-harborswtrgryxl,10004711,,,,sag harbor/swtr/gry/XL,,,,,,,,,,0,0,LB,0,0,0,IN,0,22.99,,,Sag Harbor,,,1,1,Default Tax,1,,
c9e73aea-0d6f-44a1-b3da-a3d0104f9762,sag-harborswtrpnkm,10004683,,,,sag harbor/swtr/pnk/m,,,,,,,,,,0,0,LB,0,0,0,IN,0,24.99,,,Sag Harbor,,,1,1,Default Tax,1,,
918ee34d-9ba8-46a7-9d13-603bd3faf664,10002566,10002566,,,,Sag HarborSweatshirt_Cr,,,Color,Blue,Size,XL,Sequence,13.88,,1,,,,,,,0,15.99,,,Sag Harbor,,,1,1,Default Tax,0,,
df7c8a78-fff4-454f-8e8b-635f8e0ab0cd,sageharbor--velvet-bttndwn-blk-size-xl,10005176,,,,SageHarbor / Velvet BttnDwn/ Blk/ Size XL,,,,,,,,,,0,0,LB,0,0,0,IN,0,25.99,,,Sage Harbor,,,1,1,Default Tax,3,,
4b050bb8-25a9-4356-9c7f-04858b7f6d23,sagharborbrwncoversizel,10009111,,,,SagHarbor/BrwnCover/SizeL,,,,,,,,,,0,0,LB,0,0,0,IN,8,25.99,,,Sag Harbor,,,1,1,Default Tax,1,,
590cc408-98d7-4b59-828c-2df3de47cb4b,sagharborswtrprp1x,10005477,,,,sagharbor/swtr/prp/1x,,,,,,,,,,0,0,LB,0,0,0,IN,0,25.99,,,Sag Harbor,,,1,1,Default Tax,1,,
e73713ec-22f2-4c87-aa99-107fba4a501b,sagp-pargo-black-skirt-w-beadingsize-l,10009807,,,,Sagp Pargo Black Skirt w Beading/Size L,,,,,,,,,,1,0,,0,0,0,,0,32.99,,,Sago Pargo,,,1,1,Default Tax,1,,
6db1f162-8044-4c1f-81e7-67571186e10d,saintart-army-green-satin-pants--size-s,10007300,,,,Saintart Army Green Satin Pants / Size S,,,,,,,,,,0,0,LB,0,0,0,IN,0,45.99,,,Saintart,,,1,1,Default Tax,0,,
8be4caac-4b2e-4825-8277-af81ceb35144,sak-5th-ave-button-down-red,10007009,,,,Sak 5th Ave Button Down Red,,,,,,,,,,1,0,,0,0,0,,0,29.99,,,saks 5th ave,,,1,1,Default Tax,1,,
859dd89a-ebec-4737-9ae9-8448e0879b26,saks-shirt-red,10005810,,,,Saks shirt red,,,,,,,,,,0,,,,,,,0,21.99,,,,,,1,1,Default Tax,-1,,
7bdbcdbd-8efe-4e8d-8b90-13f15bcc83ca,saksblkstudtopsizesp,10006029,,,,Saks/BlkstudTop/SizeSP,,,,,,,,,,0,0,LB,0,0,0,IN,0,45.99,,,saks 5th ave,,,1,1,Default Tax,1,,
79137302-b040-4eaa-8f38-991628e45a6e,sakswhicreamdresssizel,10008083,,,,Saks/WhiCreamDress/SizeL,,,,,,,,,,0,0,LB,0,0,0,IN,0,35.99,,,saks 5th ave,,,1,1,Default Tax,0,,
9df89cd0-fbbd-4da7-9a83-791e3b627e14,saldirinigreenflowerscarf,10008317,,,,Saldirini/GreenFlowerScarf,,,,,,,,,,0,0,LB,0,0,0,IN,0,14.99,,,Saldirini,,,1,1,Default Tax,1,,
b89926df-483b-4f0d-b20c-ab7cbeb41b67,sam-edelman-laurs-lug-loafersize-85,10007077,,,,Sam Edelman Laurs Lug Loafer/Size 8.5,,,,,,,,,,0,0,LB,0,0,0,IN,0,45.99,,,Sam Edelman,,,1,1,Default Tax,0,,
847e296d-9618-4d70-8e9f-1437930022be,samedelmanblkgoldloafersize85m,10004395,,,,SamEdelman/Blk&GoldLoafer/Size8.5M,,,,,,,,,,1,0,,0,0,0,,0,39.99,,,Sam Edelman,,,1,1,Default Tax,0,,
522ac4de-5ff5-4ab1-86d1-21aad220cf87,sami--jo-green-sleeveless-top-l,10008520,,,,Sami & Jo Green Sleeveless Top L,,,,,,,,,,0,0,LB,0,0,0,IN,10.95,18.99,,,,,,1,1,Default Tax,1,,
eef7ef2b-b3d4-47d0-9b64-202efe66dc6d,sami--jo-yellow-ss-sequin-top--size-l,10008242,,,,Sami & Jo Yellow SS Sequin Top / Size L,,,,,,,,,,0,0,LB,0,0,0,IN,6.25,25.00,,,Sami & Jo,,,1,1,Default Tax,1,,
ac185536-4e8c-4885-a1cf-66665076d9f2,sanctuary-black-pants-size-m,10008440,,,,Sanctuary Black Pants Size M,,,,,,,,,,0,0,LB,0,0,0,IN,5.75,22.99,,,,,,1,1,Default Tax,1,,
39db99c4-b606-44d1-942a-8a36a6f2a069,sanctuary-denim-hew-skirt-28,10008916,,,,Sanctuary Denim Hew Skirt 28,,,,,,,,,,0,0,LB,0,0,0,IN,7.5,23.99,,,,,,1,1,Default Tax,1,,
ed9bb63e-4a01-4338-83f1-80b43106a299,sanctuary-nwt-black-mustard-jumpsuit--size-8,10005008,,,,Sanctuary NWT Black Mustard Jumpsuit / Size 8,,,,,,,,,,0,0,LB,0,0,0,IN,0,69.99,,,Sanctuary,,,1,1,Default Tax,0,,
ef5dd263-bc31-4552-82bb-3f73d31a0d1f,sanctuary-pants-black--burgundy-size-10,10005684,,,,Sanctuary Pants Black & Burgundy Size 10,,,,,,,,,,0,0,LB,0,0,0,IN,0,21.99,,,,,,1,1,Default Tax,1,,
