sku,closing_inventory,revenue,inventory_cost,size,product_name,brand_name,product_category
10007510,1,0.0,24.99,,7 for Mankind Brown Leather Jacket S,,Jacket/Coat
10005712,1,0.0,0.0,12,7th Avenue B & W Checkered Skirt,7th Avenue Design,Skirt
10007582,1,0.0,0.0,12,7th Avenue Bright Red Shorts,7th Avenue Design,Shorts
10006607,1,0.0,0.0,M,89th & Madi Yellow LS Design Top,89th & Madison,Top
10004684,1,0.0,0.0,M,89th & madison swtr gry,89th & Madison,Sweater/Cardigan
10008356,0,14.99,0.0,40,8byYook BlueTieTop,8 by Yook,Other
10008804,1,0.0,7.5,,90's Vintage Floral Satin Cami M,,Top
10004609,0,25.99,0.0,XL,A Beautiful Soul Blush & Black Dress,A Beautiful Soul,Dress
10005195,1,0.0,0.0,S,A Byer Pink Floral Ruffle SL Top,A. Byer,Top
10007552,0,19.0,0.0,S,A Father's Love Orange Skirt,,Skirt
10004616,1,0.0,0.0,M,A New Day Black & White Dress,A New Day,Dress
10007473,0,17.99,0.0,L,A New Day Black SL Dress,A New Day,Dress
10003937,1,0.0,0.0,M,A New Day Black Slip NWT,A New Day,Other
10007267,1,0.0,0.0,XS,A New Day Black Top,,Top
10007660,1,0.0,12.0,,A New Day Kelsey Rhinestone Slides 8,,Top
10006539,1,0.0,0.0,M,A New Day Purple Tank,A New Day,Top
10002227,1,0.0,0.0,,A New DayTank Top_Ra,A New Day,Top
10008618,1,0.0,3.25,,A'gaci Floral Halter Top M,,Top
10006974,1,0.0,0.0,L,A'nye Ligne White LS,A'nye Ligne,Top
10008211,1,0.0,6.0,,A.N.A. Purple Sleeveless Top M,,Top
10003191,1,0.0,0.0,,ABSOLIUTELY Sweater,ABSOLIUTELY,Sweater/Cardigan
10002161,0,12.99,0.0,,AC DCTee Shirt_Ne,AC/DC,Top
10001104,1,0.0,0.0,,ACDC Sleeveless Tee,AC/DC,Top
10005189,0,23.99,0.0,XS,AFRM Black Sheer Floral SS,Afrm,Top
10007706,1,0.0,0.0,29,AFRM White Floral Skirt,Afrm,Skirt
10004631,1,0.0,0.0,6,AGB Black Dress,Agb,Dress
10005814,1,0.0,0.0,XL,AK swtr pnk,Anne Klein,Sweater/Cardigan
10006292,0,27.99,0.0,8,AND Beige Chiffon LS Top,And,Top
10005419,1,0.0,0.0,M,ANewDay WhiSequinDress,A New Day,Dress
10005104,1,0.0,0.0,L,AS IS Bed of Roses Black Heart Cherry Tank,Bed of Roses,Top
10005823,1,0.0,0.0,2,AS IS Missguided Gold Pants,Missguided,Jeans/Pants
10004793,1,0.0,0.0,9.5,AS IS Ralph Lauren Booties,Lauren Ralph Lauren,Shoes
10007768,1,0.0,245.0,10,AS IS Vintage Pink Dress w Scarf,,Dress
10006512,0,24.99,0.0,S,ASISBCBG Beige Embroid Buttondown,BCBG Maxazria,Other
10008579,1,0.0,8.0,S,ASISSuprDwn SequinOneslDress,SuperDown,Dress
10006095,1,0.0,0.0,L,ASOS StripedTubeTop,Asos Design,Top
10007271,1,0.0,0.0,M,ASTR Beige LS Top,,Top
10007337,0,32.99,0.0,M,ASTR White Dress,Astr,Dress
10005329,1,0.0,0.0,XS,ATLoft BrwnStripeCrdign,Ann Taylor LOFT,Sweater/Cardigan
10008238,0,26.0,0.0,L,AUW Blue Camisole,,Top
10003973,1,0.0,0.0,20,AW Bridal Floral Dress,AW Bridal,Dress
10008584,1,0.0,8.0,XS,AbeltLabel WhiGreenDress,Abel the Label,Dress
10006357,0,21.99,0.0,M,AbercmxFitch BrwnBowTop,Abercrombie & Fitch,Other
10006005,1,0.0,0.0,XS,Abercombie BluGrnSwter,Abercrombie & Fitch,Other
10007791,1,0.0,0.0,M,Abercrombie & F Beige Satin Crop Top,Abercrombie & Fitch,Top
10007475,1,0.0,0.0,M,Abercrombie & F Black SL Dress,Abercrombie & Fitch,Dress
10005629,0,24.99,0.0,L,Abercrombie & F Black White Floral LS,Abercrombie & Fitch,Top
10005880,0,31.99,0.0,XS,Abercrombie & F Blue Cardigan,Abercrombie & Fitch,Sweater/Cardigan
10005967,0,24.99,0.0,XS,Abercrombie & F Blue Crop Cardigan,Abercrombie & Fitch,Sweater/Cardigan
10005691,1,0.0,0.0,14,Abercrombie & F Brown Faded Jeans,Abercrombie & Fitch,Jeans/Pants
10005571,1,0.0,0.0,XL,Abercrombie & F Gray Cardigan,Abercrombie & Fitch,Sweater/Cardigan
10005974,1,0.0,0.0,XL,Abercrombie & F NWT Black Satin Tank,Abercrombie & Fitch,Top
10006674,1,0.0,0.0,S,Abercrombie & F Pale Pink Satin Dress,Abercrombie & Fitch,Dress
10006712,0,39.99,0.0,S,Abercrombie & F Strapless Orange Dress,Abercrombie & Fitch,Dress
10005937,1,0.0,0.0,XL,Abercrombie & F Tan Satin Bodysuit,Abercrombie & Fitch,Top
10006290,1,0.0,0.0,S,Abercrombie & F White Crop Top,Abercrombie & Fitch,Top
10008208,1,0.0,6.0,,Abercrombie & Fitch Floral Top M,,Top
10005225,1,0.0,0.0,L,Abercrombie & Fitch Tank Bodysuit Pink,Abercrombie & Fitch,Top
10005308,1,12.99,0.0,XS,Abercrombie Floral Tube Top,Abercrombie & Fitch,Top
10005118,1,0.0,0.0,L,Abercrombie Green Blue LS Flannel,Abercrombie & Fitch,Top
10001914,1,29.99,0.0,,Abercrombie X FitchSkirt_H,Abercrombie & Fitch,Skirt
10007333,1,0.0,0.0,S,Abercrombie Yellow SS Top,Abercrombie & Fitch,Top
10005447,0,15.99,0.0,XXS,Abercrombie&Finch Floral Top,Abercrombie & Fitch,Top
10008337,0,14.0715,0.0,M,Abercrombie GryTanHalterTop,Abercrombie & Fitch,Top
10006351,1,0.0,0.0,M,AbercrombieXF FloralCropTop,Abercrombie & Fitch,Top
10005781,1,0.0,0.0,M,Abollria FloralBlouse,Abollria,Top
10005107,0,10.99,0.0,L,Absolutely Tie Dye Crop Top,Absolutely Love it,Top
10006988,1,0.0,0.0,M,Acacia Orange Zip Up Hoodie,Acacia,Other
10005372,1,0.0,0.0,,Active USA Green Floral Wrap Top,Active USA,Top
10003871,0,31.99,0.0,S,Adam Levine Faux Leather Floral Jacket,Adam Levine,Jacket/Coat
10005834,1,0.0,0.0,,Addie Top Black Multi Color,Addie,Top
10006677,0,31.99,0.0,2,Additions by Chico's Gray Jean Jacket,Chico's,Jeans/Pants
10007416,1,0.0,0.0,XS,AdelynRae MulticolStripeDress,Adelyn Rae,Dress
10007444,1,0.0,0.0,6,Adidas Black Shorts,,Shorts
10006456,1,0.0,0.0,2,Adidas Tennessee Orange Tshirt,Adidas,Top
10008251,1,0.0,6.0,,Adiva Brown SS Top L,,Top
10005605,0,15.99,0.0,XL,Adiva Pale Pink & White Tank,Adiva,Top
10007505,0,23.99,0.0,S,Adiva Vintage LS Blouse,,Top
10008207,0,32.99,0.0,,Adiva White LS Blouse M,,Top
10003406,1,0.0,0.0,M,Adonna Slip Dress Black,Adonna,Dress
10003474,0,16.99,0.0,S,Adonna Slip Dress Black,Adonna,Dress
10009798,0,19.99,0.0,M,Adora Tie Top Black,Adora,Top
10005655,1,0.0,0.0,L,Adriana P Black SL Top,Adrianna Papell,Top
10008229,1,0.0,8.75,,Adrianna Papell Brown Blazer 6,,Jacket/Coat
10008226,1,0.0,15.0,,Adrianna Papell Burgundy Dress 6,,Dress
10007071,0,22.99,0.0,7.5,Adrianna Papell Gold Heels,,Top
10008277,1,0.0,8.0,,Adrianna Papell Yellow Crochet Dress 8,,Dress
10005046,0,27.99,0.0,M,Adrianna Papell Blouse Pink,Adrianna Papell,Top
10003042,1,0.0,0.0,,Adrianna PapellDress_Az,Adrianna Papell,Dress
10006004,1,0.0,0.0,XL,AdriannaP PnkPearlSwter,Adrianna Papell,Top
10002809,1,0.0,0.0,,Adrienne VittadinVest_Al,Adrienne Vittadin,Top
10000058,1,0.0,0.0,,Adrienne VittadiniSweater_J,Adrienne Vittadini,Sweater/Cardigan
10004314,1,0.0,0.0,6,AdrienneV Blk&NavyPant,Adrienne Vittadini,Jeans/Pants
10006258,0,25.99,0.0,S,Aeda Tan Flower Cardigan,Aeda,Sweater/Cardigan
10008624,1,0.0,2.25,S,Aerie Halter Top,,Top
10008586,1,0.0,8.0,L,Aerie BurgBralette,Aerie,Other
10004322,0,25.99,0.0,7.5,AeroSoles BrwnBuckleHeel,Aerosoles,Shoes
10007984,0,20.99,0.0,,Aeropostale Brown Belt with Beige Stitch,Aeropostale,Accessories
10008439,1,0.0,4.0,,Aeropostale Tie-Dye Top S,,Top
10004379,1,0.0,0.0,9,Aerosoles GreyBuckledHeels,Aerosoles,Top
10006324,0,34.99,0.0,S,Affinites AT Wrap LS Top,Affinites Armand Thiery,Top
10006446,0,18.99,0.0,M,Agenda Orange & White SL Top,Agenda,Top
10008394,1,0.0,9.0,,Akemi & Kim Floral Skirt XL,,Skirt
10003798,1,0.0,0.0,XS,Akemi Black Embroider Tank,Akemi X Kin,Top
10003326,1,45.99,0.0,,Akira Chicago Black Label Dress,Akira Chicago,Dress
10007055,0,45.99,0.0,8,Akira Cream Boots,Akira,Shoes
10007214,1,0.0,0.0,XL,Akira Pink Velvet Crop Top,Akira,Top
10004501,0,15.99,0.0,S,Akira Tan Banded Skirt,Akira,Skirt
10006412,0,28.99,0.0,S,Akira Brwn&BlkSheerTop,Akira,Other
10004351,1,0.0,0.0,M,AlbM Tan Button down,Alberto Makali,Other
10007871,1,0.0,0.0,M,Alberto Black Sequin Tank,Alberto Makali,Top
10003551,0,32.99,0.0,M,Alberto Makali Lace Top Black,Alberto Makali,Top
10003559,1,0.0,0.0,7,Aldo Yellowjacket ankle boots 1,Aldo,Jacket/Coat
10008613,1,0.0,5.99,,Alex & Ani Tree of Life Bangle,,Other
10006562,1,0.0,0.0,2,Alex Evenings Black Blue Shimmer Tank,Alex Evenings,Top
10004061,1,0.0,0.0,L,Alex Evenings PnkSequin Coat,Alex Evenings,Jacket/Coat
10008424,1,0.0,9.0,,Alex Marie Black Sequin Pants 12,,Jeans/Pants
10009803,1,0.0,0.0,14,Alex Marie Black Pink w Floral Embroid,Alex Marie,Other
10005464,1,0.0,0.0,S,AlexEvenings GreyTieBlouse,Alex Evenings,Top
10004378,0,19.99,0.0,9,AlexMarie BlkHeeledFlats,Alex Marie,Shoes
10008792,1,0.0,8.0,7.5,AlexXAni SSilverRing,Alex x Ani Alexander,Top
10007447,0,26.99,0.0,8,Alexandria Barlett Black Colorful Capris,Alexandria Bartlett,Other
10003226,0,23.16057,0.0,,Alexis Bittar Gold Colored Enamel Ring,Alexis Bitlar,Accessories
10007474,0,27.99,0.0,16,Alfani Black & Beige SL Dress,Alfani,Dress
10004357,1,0.0,0.0,18,Alfani Black Trouser,Alfani,Jeans/Pants
10004909,0,22.99,0.0,XXL,Alfani Blue&BlkDress,Alfani,Dress
10004760,1,0.0,0.0,XL,Alfred Dunner Beige Beaded SS,Alfred Dunner,Top
10005531,1,0.0,0.0,M,Ali & Chris Black LS Sheer Tie Front,Ali X Chris,Top
10004730,0,15.99,0.0,M,Ali & Christ Gray SS,Ali X Chris,Top
10005600,1,0.0,0.0,14,Alia Pink & White Buttondown SS,Alia Petite,Top
10004862,1,0.0,0.0,S,AliceM Pink&BlkFloralShirt,Alice Moon,Top
10004236,1,0.0,0.0,M,All in Favor Dark Blue Sweater,All in Favor,Sweater/Cardigan
10008511,1,0.0,10.95,,All in Motion Orange Shorts M,,Shorts
10004657,1,0.0,0.0,XS,AllSaints BlkSweater,All Saints,Sweater/Cardigan
10006973,0,16.99,0.0,XS,Allegra White Blouse Bodysuit,Allegra K,Top
10007080,0,35.99,0.0,7,Allegria Red Sling Backs,Allegria,Other
10005199,0,15.99,0.0,S,Allison B SL Dress Multicolor Texture,Allison Brittney,Dress
10004994,1,0.0,0.0,M,Allison D Blue QS,Allison Dailey,Other
10008276,1,0.0,5.5,,Allison Daley Black Vest,,Top
10007859,1,0.0,0.0,,Allison Joy Red Print Dress S,,Dress
10006713,0,25.99,0.0,L,Allison T Brown Buttondown SL Dress,Allison Taylor,Dress
10003826,1,0.0,0.0,M,AllisonDaley Multicolor Sweater,Allison Dailey,Sweater/Cardigan
10003974,2,0.0,0.0,XS,AllisonJoy Grey Sequin Blouse,Allison Joy,Top
10004023,1,0.0,0.0,XXL,Alloy Plum Ruffle Pant,Alloy Apparel,Jeans/Pants
10005110,0,22.99,0.0,M,Alma Mater Orange & White Chevron,Alma-Mater Collection,Other
10007603,1,0.0,0.0,,Alo Black Bodysuit M,,Top
10005005,1,0.0,0.0,L,Altar'd State Blue & Orange Flw LS Dress,Altar'd State,Dress
10005016,1,0.0,0.0,M,Altar'd State Beige Crop Sweater,Altar'd State,Sweater/Cardigan
10006761,0,25.99,0.0,S,Altar'd State Black Denim Shorts Romper,Altar'd State,Shorts
10005021,0,23.99,0.0,M,Altar'd State Black Sheer LS Embroid,Altar'd State,Top
10006605,1,0.0,0.0,L,Altar'd State Black Textured Tank,Altar'd State,Top
10005821,0,32.99,0.0,S,Altar'd State Blue Dress,Altar'd State,Dress
