datetime,date,hour,month,day_of_week,week_num,receipt_number,total_items,subtotal,sales_tax,total_discount,total,details,register
2026-03-28 16:15:00,2026-03-28,16,3,Saturday,13,18,1.0,26.99,2.5,0.0,29.49,1 X Essence/BlPatternedSkirtWRuffle/SizeM,POS 2
2026-03-28 16:07:39,2026-03-28,16,3,Saturday,13,17,1.0,45.99,4.25,0.0,50.24,1 X Isaac Mizrahi White Dress / Size 6,POS 2
2026-03-28 14:46:42,2026-03-28,14,3,Saturday,13,16,1.0,125.0,11.56,0.0,136.56,1 X Desigual Purple Orange Boots / Size 9.5,POS 2
2026-03-28 14:36:03,2026-03-28,14,3,Saturday,13,15,2.0,54.98,5.09,0.0,60.07,1 X White Mountain Slip on Sandals Gold/Size 9 + 1 X West 36th Denim Skirt Brown/Size L,POS 2
2026-03-28 14:33:47,2026-03-28,14,3,Saturday,13,14,6.0,290.94,26.91,0.0,317.85,1 X Highway Jeans Jean Vest / Size M + 1 X blue patterned dress/medium + 1 X VINTAGE Magica Blue 2 Piece Set / Size M + 1 X VINTAGE/studioI/blouse/grn/14 + 1 X Badgley Mischka Dress Floral Black + 1 X RefugeDenim/LightDenimVest/SizeM,POS 2
2026-03-28 14:24:19,2026-03-28,14,3,Saturday,13,13,1.0,45.99,4.25,0.0,50.24,1 X TheSak/BrwnFloralBag,POS 2
2026-03-28 14:19:42,2026-03-28,14,3,Saturday,13,12,1.0,45.99,4.25,0.0,50.24,1 X NWT BCBG Brown Dress Size 8,POS 2
2026-03-28 14:19:04,2026-03-28,14,3,Saturday,13,11,1.0,19.99,1.85,0.0,21.84,1 X Urban Behavior Multicolor Sheer Tank / Size S,POS 2
2026-03-28 14:13:11,2026-03-28,14,3,Saturday,13,10,1.0,23.99,2.22,0.0,26.21,1 X Do & Be Brown & Green Tank / Size M,POS 2
2026-03-28 13:47:34,2026-03-28,13,3,Saturday,13,9,1.0,15.99,1.48,0.0,17.47,1 X Gianni Bini Red Shoes Size 11,POS 2
2026-03-28 13:46:44,2026-03-28,13,3,Saturday,13,8,2.0,54.98,5.09,0.0,60.07,1 X Abercrombie & F Black White Floral LS / Size L + 1 X Wit X WisdomPants,POS 2
2026-03-28 13:44:12,2026-03-28,13,3,Saturday,13,7,2.0,53.98,4.99,0.0,58.97,1 X Levi's White Shorts / Size 30 + 1 X GAP White Lace Top/Size L,POS 2
2026-03-28 13:37:50,2026-03-28,13,3,Saturday,13,651,2.0,54.49,5.04,0.0,59.53,1 X VINTAGE Floral Orange/Tan Shirt/ Size 12 + 1 X Orange Drop Earrings,Main Register
2026-03-28 12:56:56,2026-03-28,12,3,Saturday,13,650,0.0,185.0,17.11,0.0,202.11,1 X 1883 Teal and Brown Cowgirl Boots / Size 7.5 + -1 X Discount,Main Register
2026-03-28 12:32:26,2026-03-28,12,3,Saturday,13,649,1.0,28.99,2.68,0.0,31.67,1 X LaceLongsleeve/SizeS,Main Register
2026-03-28 12:23:41,2026-03-28,12,3,Saturday,13,648,1.0,39.99,3.7,0.0,43.69,1 X Fleur Silk Scarf,Main Register
2026-03-28 12:07:36,2026-03-28,12,3,Saturday,13,647,1.0,175.0,16.19,0.0,191.19,1 X Desigual Multicolor Coat / Size 40,Main Register
2026-03-28 11:32:11,2026-03-28,11,3,Saturday,13,646,2.0,43.98,4.07,0.0,48.05,1 X Limited Black Skirt/Size 2 + 1 X Naturalizer Lime Green Mules/Size 8.5,Main Register
2026-03-28 11:21:48,2026-03-28,11,3,Saturday,13,645,2.0,41.98,3.88,0.0,45.86,1 X VINTAGE Black Blouse Gold Leaf / Size Large + 1 X VintageSears/WhiRuffleBtnDwn/Size8,Main Register
2026-03-28 10:46:59,2026-03-28,10,3,Saturday,13,644,2.0,21.49,1.99,0.0,23.48,1 X Biviar Black Hat + 1 X Pink Trio Flower Earrings,Main Register
2026-03-27 20:08:42,2026-03-27,20,3,Friday,13,643,1.0,22.99,2.13,0.0,25.12,1 X Jason Maxwell Green Floral Hoodie/ Size XL,Main Register
